Name [EN],Type,BP Name,Force Spawn Command (Full Patch)
Core Booster,Amulet,Amulet_CoreBooster_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/CoreBooster/Amulet_CoreBooster.Amulet_CoreBooster_C
Detonation Trigger,Amulet,Amulet_DetonationTrigger_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/DetonationTrigger/Amulet_DetonationTrigger.Amulet_DetonationTrigger_C
Difference Engine,Amulet,Amulet_DifferenceEngine_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/DifferenceEngine/Amulet_DifferenceEngine.Amulet_DifferenceEngine_C
Effluvium Enhancer,Amulet,Amulet_EffluviumEnhancer_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/EffluviumEnhancer/Amulet_EffluviumEnhancer.Amulet_EffluviumEnhancer_C
Emergency Switch,Amulet,Amulet_EmergencySwitch_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/EmergencySwitch/Amulet_EmergencySwitch.Amulet_EmergencySwitch_C
Energy Diverter,Amulet,Amulet_EnergyDiverter_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/EnergyDiverter/Amulet_EnergyDiverter.Amulet_EnergyDiverter_C
Hyperconductor,Amulet,Amulet_Hyperconductor_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/Hyperconductor/Amulet_Hyperconductor.Amulet_Hyperconductor_C
Inert Overcharger,Amulet,Amulet_InertOvercharger_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/InertOvercharger/Amulet_InertOvercharger.Amulet_InertOvercharger_C
Insulation Driver,Amulet,Amulet_InsulationDriver_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/InsulationDriver/Amulet_InsulationDriver.Amulet_InsulationDriver_C
Kinetic Shield Exchanger,Amulet,Amulet_KineticShieldExchanger_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/KineticShieldExchanger/Amulet_KineticShieldExchanger.Amulet_KineticShieldExchanger_C
Navigator's Pendant,Amulet,Amulet_NavigatorsPendant_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/NavigatorsPendant/Amulet_NavigatorsPendant.Amulet_NavigatorsPendant_C
Range Finder,Amulet,Amulet_RangeFinder_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/RangeFinder/Amulet_RangeFinder.Amulet_RangeFinder_C
Rusted Navigator's Pendant,Amulet,Amulet_RustedNavigatorsPendant_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/RustedNavigatorsPendant/Amulet_RustedNavigatorsPendant.Amulet_RustedNavigatorsPendant_C
Samoflange,Amulet,Amulet_Samoflange_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/Samoflange/Amulet_Samoflange.Amulet_Samoflange_C
Toxic Release Valve,Amulet,Amulet_ToxicReleaseValve_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/ToxicReleaseValve/Amulet_ToxicReleaseValve.Amulet_ToxicReleaseValve_C
Void Idol,Amulet,Amulet_VoidIdol_C,summon /Game/World_Nerud/Items/Trinkets/Amulets/VoidIdol/Amulet_VoidIdol.Amulet_VoidIdol_C
Abrasive Whetstone,Amulet,Amulet_AbrasiveWhetstone_C,summon /Game/World_Root/Items/Trinkets/Amulets/AbrasiveWhetstone/Amulet_AbrasiveWhetstone.Amulet_AbrasiveWhetstone_C
Ankh Of Power,Amulet,Amulet_AnkhOfPower_C,summon /Game/World_Root/Items/Trinkets/Amulets/AnkhOfPower/Amulet_AnkhOfPower.Amulet_AnkhOfPower_C
Broken Pocket Watch,Amulet,Amulet_BrokenPocketWatch_C,summon /Game/World_Root/Items/Trinkets/Amulets/BrokenPocketWatch/Amulet_BrokenPocketWatch.Amulet_BrokenPocketWatch_C
Decayed Margin,Amulet,Amulet_DecayedMargin_C,summon /Game/World_Root/Items/Trinkets/Amulets/DecayedMargin/Amulet_DecayedMargin.Amulet_DecayedMargin_C
Escalation Protocol,Amulet,Amulet_EscalationProtocol_C,summon /Game/World_Root/Items/Trinkets/Amulets/EscalationProtocol/Amulet_EscalationProtocol.Amulet_EscalationProtocol_C
Birthright Of The Lost,Amulet,Amulet_BirthrightOfTheLost_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/BirthrightOfTheLost/Amulet_BirthrightOfTheLost.Amulet_BirthrightOfTheLost_C
Brewmasters Cork,Amulet,Amulet_BrewmastersCork_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/BrewmastersCork/Amulet_BrewmastersCork.Amulet_BrewmastersCork_C
Cost Of Betrayal,Amulet,Amulet_CostOfBetrayal_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/Cost_Of_Betrayal/Amulet_CostOfBetrayal.Amulet_CostOfBetrayal_C
Death-Soaked Idol,Amulet,Amulet_DeathSoakedIdol_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/DeathSoakedIdol/Amulet_DeathSoakedIdol.Amulet_DeathSoakedIdol_C
Gift Of Euphoria,Amulet,Amulet_GiftOfEuphoria_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/GiftOfEuphoria/Amulet_GiftOfEuphoria.Amulet_GiftOfEuphoria_C
Gift Of Melancholy,Amulet,Amulet_GiftOfMelancholy_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/GiftOfMelancholy/Amulet_GiftOfMelancholy.Amulet_GiftOfMelancholy_C
Gift Of The Unbound,Amulet,Amulet_GiftOfTheUnbound_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/GiftOfTheUnbound/Amulet_GiftOfTheUnbound.Amulet_GiftOfTheUnbound_C
Index Of The Scribe,Amulet,Amulet_IndexOfTheScribe_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/IndexOfTheScribe/Amulet_IndexOfTheScribe.Amulet_IndexOfTheScribe_C
Legacy Protocol,Amulet,Amulet_LegacyProtocol_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/LegacyProtocol/Amulet_LegacyProtocol.Amulet_LegacyProtocol_C
Participation Medal,Amulet,Amulet_ParticipationMedal_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/ParticipationMedal/Amulet_ParticipationMedal.Amulet_ParticipationMedal_C
Sinister Totem,Amulet,Amulet_SinisterTotem_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/SinisterTotem/Amulet_SinisterTotem.Amulet_SinisterTotem_C
Whispering Marble,Amulet,Amulet_WhisperingMarble_C,summon /Game/World_DLC1/Items/Trinkets/Amulets/WhisperingMarble/Amulet_WhisperingMarble.Amulet_WhisperingMarble_C
Beads Of The Valorous,Amulet,Amulet_BeadsOfTheValorous_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/BeadsOfTheValorous/Amulet_BeadsOfTheValorous.Amulet_BeadsOfTheValorous_C
Cervine Keepsake,Amulet,Amulet_CervineKeepsake_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/CervineKeepsake/Amulet_CervineKeepsake.Amulet_CervineKeepsake_C
Echo Of The Forest,Amulet,Amulet_EchoOfTheForest_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/EchoOfTheForest/Amulet_EchoOfTheForest.Amulet_EchoOfTheForest_C
Fragrant Thorn,Amulet,Amulet_FragrantThorn_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/FragrantThorn/Amulet_FragrantThorn.Amulet_FragrantThorn_C
Magnifying Glass,Amulet,Amulet_MagnifyingGlass_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/MagnifyingGlass/Amulet_MagnifyingGlass.Amulet_MagnifyingGlass_C
Moon Stone,Amulet,Amulet_MoonStone_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/MoonStone/Amulet_MoonStone.Amulet_MoonStone_C
Profane Soul Stone,Amulet,Amulet_ProfaneSoulStone_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/ProfaneSoulStone/Amulet_ProfaneSoulStone.Amulet_ProfaneSoulStone_C
Reed Of The Vaunnt,Amulet,Amulet_ReedOfTheVaunnt_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/ReedOfTheVaunnt/Amulet_ReedOfTheVaunnt.Amulet_ReedOfTheVaunnt_C
Soul Stone,Amulet,Amulet_SoulStone_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/SoulStone/Amulet_SoulStone.Amulet_SoulStone_C
Stoneshaper's Chisel,Amulet,Amulet_StoneshapersChisel_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/StoneshapersChisel/Amulet_StoneshapersChisel.Amulet_StoneshapersChisel_C
Worn Dog Tags,Amulet,Amulet_WornDogTags_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/WornDogTags/Amulet_WornDogTags.Amulet_WornDogTags_C
Zero Divide,Amulet,Amulet_ZeroDivide_C,summon /Game/World_DLC2/Items/Trinkets/Amulets/ZeroDivide/Amulet_ZeroDivide.Amulet_ZeroDivide_C
Brazen Amalgam,Amulet,Amulet_BrazenAlloy_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/BrazenAlloy/Amulet_BrazenAlloy.Amulet_BrazenAlloy_C
Canine Keepsake,Amulet,Amulet_CanineKeepsake_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/CanineKeepsake/Amulet_CanineKeepsake.Amulet_CanineKeepsake_C
Cessation Bulbel,Amulet,Amulet_CessationBulbel_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/CessationBulbel/Amulet_CessationBulbel.Amulet_CessationBulbel_C
Chef Medal,Amulet,Amulet_ChefMedal_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/ChefMedal/Amulet_ChefMedal.Amulet_ChefMedal_C
Crisis Core,Amulet,Amulet_Crisiscore_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/Crisiscore/Amulet_Crisiscore.Amulet_Crisiscore_C
Echo Chamber,Amulet,Amulet_EchoChamber_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/EchoChamber/Amulet_EchoChamber.Amulet_EchoChamber_C
Exhaust Valve,Amulet,Amulet_ExhaustValve_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/ExhaustValve/Amulet_ExhaustValve.Amulet_ExhaustValve_C
Hangman's Noose,Amulet,Amulet_HangmansNoose_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/HangmansNoose/Amulet_HangmansNoose.Amulet_HangmansNoose_C
Insipid Talon,Amulet,Amulet_InsipidTalon_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/InsipidTalon/Amulet_InsipidTalon.Amulet_InsipidTalon_C
Ornate Amulet,Amulet,Amulet_OrnateAmulet_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/OrnateAmulet/Amulet_OrnateAmulet.Amulet_OrnateAmulet_C
Quantum Memory,Amulet,Amulet_QuantumMemory_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/QuantumMemory/Amulet_QuantumMemory.Amulet_QuantumMemory_C
Reaction Chain,Amulet,Amulet_ReactionChain_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/ReactionChain/Amulet_ReactionChain.Amulet_ReactionChain_C
Relay Device,Amulet,Amulet_RelayDevice_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/RelayDevice/Amulet_RelayDevice.Amulet_RelayDevice_C
Short Circuit,Amulet,Amulet_ShortCircuit_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/ShortCircuit/Amulet_ShortCircuit.Amulet_ShortCircuit_C
Timekeeper's Forfeit,Amulet,Amulet_TimekeepersForfeit_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/TimekeepersForfeit/Amulet_TimekeepersForfeit.Amulet_TimekeepersForfeit_C
Volatile Cartridge,Amulet,Amulet_VolatileCartridge_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/VolatileCartridge/Amulet_VolatileCartridge.Amulet_VolatileCartridge_C
Zero Hour,Amulet,Amulet_ZeroHour_C,summon /Game/World_DLC3/Items/Trinkets/Amulets/ZeroHour/Amulet_ZeroHour.Amulet_ZeroHour_C
Worn Admiral's Ring,Ring,Ring_RingOfTheAdmiral_C,summon /Game/World_Base/Items/Trinkets/Rings/01_Graveyard/RingOfTheAdmiral/Ring_RingOfTheAdmiral.Ring_RingOfTheAdmiral_C
Provisioner Ring,Ring,Ring_ProvisionerRing_C,summon /Game/World_Base/Items/Trinkets/Rings/02_OnHold/ProvisionerRing/Ring_ProvisionerRing.Ring_ProvisionerRing_C
Akari War Band,Ring,Ring_AkariWarBand_C,summon /Game/World_Base/Items/Trinkets/Rings/AkariWarBand/Ring_AkariWarBand.Ring_AkariWarBand_C
Amber Moonstone,Ring,Ring_AmberMoonstone_C,summon /Game/World_Base/Items/Trinkets/Rings/AmberMoonstone/Ring_AmberMoonstone.Ring_AmberMoonstone_C
Band Of Accord,Ring,Ring_BandOfAccord_C,summon /Game/World_Base/Items/Trinkets/Rings/BandOfAccord/Ring_BandOfAccord.Ring_BandOfAccord_C
Black Cat Band,Ring,Ring_BlackCatBand_C,summon /Game/World_Base/Items/Trinkets/Rings/BlackCatBand/Ring_BlackCatBand.Ring_BlackCatBand_C
Blessed Ring,Ring,Ring_BlessedRing_C,summon /Game/World_Base/Items/Trinkets/Rings/BlessedRing/Ring_BlessedRing.Ring_BlessedRing_C
Braided Thorns,Ring,Ring_BraidedThorns_C,summon /Game/World_Base/Items/Trinkets/Rings/BraidedThorns/Ring_BraidedThorns.Ring_BraidedThorns_C
Dull Steel Ring,Ring,Ring_BrightSteelRing_C,summon /Game/World_Base/Items/Trinkets/Rings/BrightSteelRing/Ring_BrightSteelRing.Ring_BrightSteelRing_C
Burden Of The Gambler,Ring,Ring_BurdenOfTheGambler_C,summon /Game/World_Base/Items/Trinkets/Rings/BurdenOfTheGambler/Ring_BurdenOfTheGambler.Ring_BurdenOfTheGambler_C
Compulsion Loop,Ring,Ring_CompulsionLoop_C,summon /Game/World_Base/Items/Trinkets/Rings/CompulsionLoop/Ring_CompulsionLoop.Ring_CompulsionLoop_C
Deceiver's Band,Ring,Ring_DeceiversBand_C,summon /Game/World_Base/Items/Trinkets/Rings/DeceiversBand/Ring_DeceiversBand.Ring_DeceiversBand_C
Devoured Loop,Ring,Ring_DevouringLoop_C,summon /Game/World_Base/Items/Trinkets/Rings/DevouringLoop/Ring_DevouringLoop.Ring_DevouringLoop_C
Dran Scavenger Sigil,Ring,Ring_DranScavengerSigil_C,summon /Game/World_Base/Items/Trinkets/Rings/DranScavengerSigil/Ring_DranScavengerSigil.Ring_DranScavengerSigil_C
Drzyr Sniper Sigil,Ring,Ring_DrzyrSniperSigil_C,summon /Game/World_Base/Items/Trinkets/Rings/DrzyrSniperSigil/Ring_DrzyrSniperSigil.Ring_DrzyrSniperSigil_C
Gunslinger's Ring,Ring,Ring_GunslingersRing_C,summon /Game/World_Base/Items/Trinkets/Rings/GunslingersRing/Ring_GunslingersRing.Ring_GunslingersRing_C
Ahanae Crystal,Ring,Ring_PanMageSigil_C,summon /Game/World_Base/Items/Trinkets/Rings/PanMageSigil/Ring_PanMageSigil.Ring_PanMageSigil_C
Rock Of Anguish,Ring,Ring_RockOfAnguish_C,summon /Game/World_Base/Items/Trinkets/Rings/RockOfAnguish/Ring_RockOfAnguish.Ring_RockOfAnguish_C
Tarnished Ring,Ring,Ring_TarnishedRing_C,summon /Game/World_Base/Items/Trinkets/Rings/TarnishedRing/Ring_TarnishedRing.Ring_TarnishedRing_C
Alchemy Stone,Ring,Ring_AlchemyStone_C,summon /Game/World_Fae/Items/Trinkets/Rings/AlchemyStone/Ring_AlchemyStone.Ring_AlchemyStone_C
Alumni Ring,Ring,Ring_AlumniRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/AlumniRing/Ring_AlumniRing.Ring_AlumniRing_C
Assassin's Seal,Ring,Ring_AssassinsSeal_C,summon /Game/World_Fae/Items/Trinkets/Rings/AssassinsSeal/Ring_AssassinsSeal.Ring_AssassinsSeal_C
Black Pawn Stamp,Ring,Ring_BlackPawnStamp_C,summon /Game/World_Fae/Items/Trinkets/Rings/BlackPawnStamp/Ring_BlackPawnStamp.Ring_BlackPawnStamp_C
Booster Ring,Ring,Ring_BoosterRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/BoosterRing/Ring_BoosterRing.Ring_BoosterRing_C
Burden Of The Divine,Ring,Ring_BurdenOfTheDivine_C,summon /Game/World_Fae/Items/Trinkets/Rings/BurdenOfTheDivine/Ring_BurdenOfTheDivine.Ring_BurdenOfTheDivine_C
Burden Of The Warlock,Ring,Ring_BurdenOfTheWarlock_C,summon /Game/World_Fae/Items/Trinkets/Rings/BurdenOfTheWarlock/Ring_BurdenOfTheWarlock.Ring_BurdenOfTheWarlock_C
Cataloger's Jewel,Ring,Ring_CatalogersJewel_C,summon /Game/World_Fae/Items/Trinkets/Rings/CatalogersJewel/Ring_CatalogersJewel.Ring_CatalogersJewel_C
Drakestone Pearl,Ring,Ring_DrakestonePearl_C,summon /Game/World_Fae/Items/Trinkets/Rings/DrakestonePearl/Ring_DrakestonePearl.Ring_DrakestonePearl_C
Dran Memento,Ring,Ring_DranMemento_C,summon /Game/World_Fae/Items/Trinkets/Rings/DranMemento/Ring_DranMemento.Ring_DranMemento_C
Fae Shaman Ring,Ring,Ring_FaeShamanRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/DranShamanRing/Ring_FaeShamanRing.Ring_FaeShamanRing_C
Dread Font,Ring,Ring_DreadFont_C,summon /Game/World_Fae/Items/Trinkets/Rings/DreadFont/Ring_DreadFont.Ring_DreadFont_C
Fae Bruiser Ring,Ring,Ring_FaeBruiserRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/FaeBruiserRing/Ring_FaeBruiserRing.Ring_FaeBruiserRing_C
Fae Hunter Ring,Ring,Ring_FaeHunterRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/FaeHunterRing/Ring_FaeHunterRing.Ring_FaeHunterRing_C
Faelin's Sigil,Ring,Ring_FaelinsSigil_C,summon /Game/World_Fae/Items/Trinkets/Rings/FaelinsSigil/Ring_FaelinsSigil.Ring_FaelinsSigil_C
Fae Protector Signet,Ring,Ring_FaeProtectorSignet_C,summon /Game/World_Fae/Items/Trinkets/Rings/FaeProtectorSignet/Ring_FaeProtectorSignet.Ring_FaeProtectorSignet_C
Faerin's Sigil,Ring,Ring_FaerinsSigil_C,summon /Game/World_Fae/Items/Trinkets/Rings/FaerinsSigil/Ring_FaerinsSigil.Ring_FaerinsSigil_C
Fae Warrior Ring,Ring,Ring_FaeWarriorRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/FaeWarriorRing/Ring_FaeWarriorRing.Ring_FaeWarriorRing_C
Feastmaster's Signet,Ring,Ring_FeastmastersSignet_C,summon /Game/World_Fae/Items/Trinkets/Rings/FeastmastersSignet/Ring_FeastmastersSignet.Ring_FeastmastersSignet_C
Fire Stone,Ring,Ring_FireStone_C,summon /Game/World_Fae/Items/Trinkets/Rings/FireStone/Ring_FireStone.Ring_FireStone_C
Game Master's Pride,Ring,Ring_GameMastersPride_C,summon /Game/World_Fae/Items/Trinkets/Rings/GameMastersPride/Ring_GameMastersPride.Ring_GameMastersPride_C
Grounding Stone,Ring,Ring_GroundingStone_C,summon /Game/World_Fae/Items/Trinkets/Rings/GroundingStone/Ring_GroundingStone.Ring_GroundingStone_C
Hex Ward,Ring,Ring_HexWard_C,summon /Game/World_Fae/Items/Trinkets/Rings/HexWard/Ring_HexWard.Ring_HexWard_C
Outcast Ring,Ring,Ring_OutcastRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/OutcastRing/Ring_OutcastRing.Ring_OutcastRing_C
Ring Of Grace,Ring,Ring_RingOfGrace_C,summon /Game/World_Fae/Items/Trinkets/Rings/RingOfGrace/Ring_RingOfGrace.Ring_RingOfGrace_C
Ring Of Retribution,Ring,Ring_RingOfRetribution_C,summon /Game/World_Fae/Items/Trinkets/Rings/RingOfRetribution/Ring_RingOfRetribution.Ring_RingOfRetribution_C
Ring Of The Robust,Ring,Ring_RingOfTheRobust_C,summon /Game/World_Fae/Items/Trinkets/Rings/RingOfTheRobust/Ring_RingOfTheRobust.Ring_RingOfTheRobust_C
Rusted Heirloom,Ring,Ring_RustedHeirloom_C,summon /Game/World_Fae/Items/Trinkets/Rings/RustedHeirloom/Ring_RustedHeirloom.Ring_RustedHeirloom_C
Sapphire Dreamstone,Ring,Ring_SapphireDreamstone_C,summon /Game/World_Fae/Items/Trinkets/Rings/SapphireDreamstone/Ring_SapphireDreamstone.Ring_SapphireDreamstone_C
Shiny Hog Lure,Ring,Ring_ShinyHogLure_C,summon /Game/World_Fae/Items/Trinkets/Rings/ShinyHogLure/Ring_ShinyHogLure.Ring_ShinyHogLure_C
Singed Ring,Ring,Ring_SingedRing_C,summon /Game/World_Fae/Items/Trinkets/Rings/SingedRing/Ring_SingedRing.Ring_SingedRing_C
Stockpile Charger,Ring,Ring_StockpileCharger_C,summon /Game/World_Fae/Items/Trinkets/Rings/StockpileDelayLoop/Ring_StockpileCharger.Ring_StockpileCharger_C
Stone Of Malevolence,Ring,Ring_StoneOfMalevolence_C,summon /Game/World_Fae/Items/Trinkets/Rings/StoneOfMalevolence/Ring_StoneOfMalevolence.Ring_StoneOfMalevolence_C
Stream Coupler,Ring,Ring_StreamCoupler_C,summon /Game/World_Fae/Items/Trinkets/Rings/StreamCoupler/Ring_StreamCoupler.Ring_StreamCoupler_C
Ring Of the Damned,Ring,Ring_StrongArmBand_C,summon /Game/World_Fae/Items/Trinkets/Rings/StrongArmBand/Ring_StrongArmBand.Ring_StrongArmBand_C
Timekeeper's Jewel,Ring,Ring_TimekeepersJewel_C,summon /Game/World_Fae/Items/Trinkets/Rings/TimekeepersJewel/Ring_TimekeepersJewel.Ring_TimekeepersJewel_C
White Pawn Stamp,Ring,Ring_WhitePawnStamp_C,summon /Game/World_Fae/Items/Trinkets/Rings/WhitePawnStamp/Ring_WhitePawnStamp.Ring_WhitePawnStamp_C
Archer's Crest,Ring,Ring_ArchersCrest_C,summon /Game/World_Jungle/Items/Trinkets/Rings/ArchersCrest/Ring_ArchersCrest.Ring_ArchersCrest_C
Band Band,Ring,Ring_BandBand_C,summon /Game/World_Jungle/Items/Trinkets/Rings/BandBand/Ring_BandBand.Ring_BandBand_C
Berserker's Crest,Ring,Ring_BerserkersCrest_C,summon /Game/World_Jungle/Items/Trinkets/Rings/BerserkersCrest/Ring_BerserkersCrest.Ring_BerserkersCrest_C
Blood Jewel,Ring,Ring_BloodJewel_C,summon /Game/World_Jungle/Items/Trinkets/Rings/BloodJewel/Ring_BloodJewel.Ring_BloodJewel_C
Blood Tinged Ring,Ring,Ring_BloodTingedRing_C,summon /Game/World_Jungle/Items/Trinkets/Rings/BloodTingedRing/Ring_BloodTingedRing.Ring_BloodTingedRing_C
Burden Of The Follower,Ring,Ring_BurdenOfTheFollower_C,summon /Game/World_Jungle/Items/Trinkets/Rings/BurdenOfTheFollower/Ring_BurdenOfTheFollower.Ring_BurdenOfTheFollower_C
Burden Of The Rebel,Ring,Ring_BurdenOfTheRebel_C,summon /Game/World_Jungle/Items/Trinkets/Rings/BurdenoftheRebel/Ring_BurdenOfTheRebel.Ring_BurdenOfTheRebel_C
Captain's Insignia,Ring,Ring_CaptainsInsignia_C,summon /Game/World_Jungle/Items/Trinkets/Rings/CaptainsInsignia/Ring_CaptainsInsignia.Ring_CaptainsInsignia_C
Celerity Stone,Ring,Ring_CelerityStone_C,summon /Game/World_Jungle/Items/Trinkets/Rings/CelerityStone/Ring_CelerityStone.Ring_CelerityStone_C
Endaira's Endless Loop,Ring,Ring_EndairasEndlessLoop_C,summon /Game/World_Jungle/Items/Trinkets/Rings/EndairasEndlessLoop/Ring_EndairasEndlessLoop.Ring_EndairasEndlessLoop_C
Frivolous Band,Ring,Ring_FrivolousBand_C,summon /Game/World_Jungle/Items/Trinkets/Rings/FrivolousBand/Ring_FrivolousBand.Ring_FrivolousBand_C
Guardian's Ring,Ring,Ring_GuardiansRing_C,summon /Game/World_Jungle/Items/Trinkets/Rings/GuardiansRing/Ring_GuardiansRing.Ring_GuardiansRing_C
Hardened Coil,Ring,Ring_HardenedCoil_C,summon /Game/World_Jungle/Items/Trinkets/Rings/HardenedCoil/Ring_HardenedCoil.Ring_HardenedCoil_C
Heart Of The Wolf,Ring,Ring_HeartOfTheWolf_C,summon /Game/World_Jungle/Items/Trinkets/Rings/HeartOfTheWolf/Ring_HeartOfTheWolf.Ring_HeartOfTheWolf_C
Lithic Signet,Ring,Ring_LithicSignet_C,summon /Game/World_Jungle/Items/Trinkets/Rings/LithicSignet/Ring_LithicSignet.Ring_LithicSignet_C
Lodestone Ring,Ring,Ring_LodestoneRing_C,summon /Game/World_Jungle/Items/Trinkets/Rings/LodestoneRing/Ring_LodestoneRing.Ring_LodestoneRing_C
Acid Stone,Ring,Ring_AcidStone_C,summon /Game/World_Jungle/Items/Trinkets/Rings/PoisonStone/Ring_AcidStone.Ring_AcidStone_C
Restriction Cord,Ring,Ring_RestrictionCord_C,summon /Game/World_Jungle/Items/Trinkets/Rings/RestrictionCord/Ring_RestrictionCord.Ring_RestrictionCord_C
Ring Of Diversion,Ring,Ring_RingOfDiversion_C,summon /Game/World_Jungle/Items/Trinkets/Rings/RingOfDiversion/Ring_RingOfDiversion.Ring_RingOfDiversion_C
Ring Of Omens,Ring,Ring_RingOfOmens_C,summon /Game/World_Jungle/Items/Trinkets/Rings/RingOfOmens/Ring_RingOfOmens.Ring_RingOfOmens_C
Ring Of The Forest Spirit,Ring,Ring_RingOfTheForestSpirit_C,summon /Game/World_Jungle/Items/Trinkets/Rings/RingOfTheForestSpirit/Ring_RingOfTheForestSpirit.Ring_RingOfTheForestSpirit_C
Rotward,Ring,Ring_Rotward_C,summon /Game/World_Jungle/Items/Trinkets/Rings/Rotward/Ring_Rotward.Ring_Rotward_C
Sagestone,Ring,Ring_Sagestone_C,summon /Game/World_Jungle/Items/Trinkets/Rings/SageStone/Ring_Sagestone.Ring_Sagestone_C
Seal Of The Empress,Ring,Ring_SealOfTheEmpress_C,summon /Game/World_Jungle/Items/Trinkets/Rings/SealOfTheEmpress/Ring_SealOfTheEmpress.Ring_SealOfTheEmpress_C
Slayer's Crest,Ring,Ring_SlayersCrest_C,summon /Game/World_Jungle/Items/Trinkets/Rings/SlayersCrest/Ring_SlayersCrest.Ring_SlayersCrest_C
Soul Guard,Ring,Ring_SoulGuard_C,summon /Game/World_Jungle/Items/Trinkets/Rings/SoulGuard/Ring_SoulGuard.Ring_SoulGuard_C
Soul Link,Ring,Ring_SoulLink_C,summon /Game/World_Jungle/Items/Trinkets/Rings/SoulLink/Ring_SoulLink.Ring_SoulLink_C
Spirit Stone,Ring,Ring_SpiritStone_C,summon /Game/World_Jungle/Items/Trinkets/Rings/SpiritStone/Ring_SpiritStone.Ring_SpiritStone_C
Stone Of Balance,Ring,Ring_StoneOfBalance_C,summon /Game/World_Jungle/Items/Trinkets/Rings/StoneofBalance/Ring_StoneOfBalance.Ring_StoneOfBalance_C
Tear Of Kaeula,Ring,Ring_TearOfKaeula_C,summon /Game/World_Jungle/Items/Trinkets/Rings/TearOfKaeula/Ring_TearOfKaeula.Ring_TearOfKaeula_C
Tempest Conduit,Ring,Ring_TempestConduit_C,summon /Game/World_Jungle/Items/Trinkets/Rings/TempestConduit/Ring_TempestConduit.Ring_TempestConduit_C
Tomb Dweller's Ring,Ring,Ring_TombDwellersRing_C,summon /Game/World_Jungle/Items/Trinkets/Rings/TombDwellersRing/Ring_TombDwellersRing.Ring_TombDwellersRing_C
Vestige Of Power,Ring,Ring_VestigeOfPower_C,summon /Game/World_Jungle/Items/Trinkets/Rings/VestigeOfPower/Ring_VestigeOfPower.Ring_VestigeOfPower_C
